TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;4,80;;16,04;0,62;0,17;100,00;163,58;32,01;3,14;16,37;13,24;2,61;5,13;;-0,17;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,77;0,30;0,02;135.948.960,00
AAT;20,06;5,01;15,38;1,03;0,41;63,15;39,35;17,57;6,86;15,51;8,65;1,29;2,70;;-0,41;;6,68;2,70;6,20;0,40;0,60;0,15;4,54;4,44;;19,60;1,31;0,31;1.231.252.858,00
ABR;10,75;8,00;10,55;0,69;0,15;96,47;391,39;75,16;2,03;11,35;9,33;3,16;7,93;;-0,15;;6,51;1,47;7,82;0,22;0,78;0,02;3,32;15,52;;15,65;1,02;-0,39;2.065.722.150,00
ACC;65,42;;154,52;2,95;1,22;51,87;18,95;6,00;48,96;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;0,23;9.124.977.860,00
ACRE;4,82;13,40;-20,02;0,49;0,18;100,00;409,47;-66,30;3,24;13,05;9,81;1,49;13,27;;-0,18;;-2,46;-0,88;5,52;0,36;0,64;0,01;-6,49;;;9,86;-0,24;0,29;266.776.190,00
ADC;72,43;3,49;43,26;1,41;0,90;87,95;50,46;28,88;24,76;33,90;9,15;0,52;12,49;;-0,90;;3,26;2,09;3,69;0,64;0,36;0,07;26,91;18,76;;51,30;1,67;4,13;7.955.437.735,00
AFCG;4,58;22,76;4,94;0,51;0,32;;;;3,90;7,98;4,07;0,54;;;-0,32;;10,41;6,50;8,35;0,62;0,38;0,00;;;;8,89;0,93;0,05;103.263.720,00
AFIN;8,23;;-97,09;0,58;0,28;74,05;20,65;-3,17;14,92;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;1,53;1.016.458.495,00
AFINO;25,70;;-303,19;1,80;0,86;74,05;20,65;-3,17;46,58;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;4,79;1.016.458.495,00
AFINP;26,01;;-306,85;1,82;0,87;74,05;20,65;-3,17;47,15;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;4,85;1.016.458.495,00
AGNC;9,42;14,03;26,23;0,96;0,10;;;;2,81;7,38;4,56;1,55;;;-0,10;;3,64;0,38;12,49;0,10;0,90;0,00;;4,64;;9,84;0,36;-0,70;9.601.732.514,00
AGNCM;24,62;9,49;68,67;2,50;0,26;;;;7,36;7,38;4,56;1,55;;;-0,26;;3,64;0,38;12,49;0,10;0,90;0,00;;4,64;;9,84;0,36;-1,84;9.601.732.514,00
AGNCN;25,27;10,03;70,45;2,57;0,27;;;;7,55;7,38;4,56;1,55;;;-0,27;;3,64;0,38;12,49;0,10;0,90;0,00;;4,64;;9,84;0,36;-1,89;9.601.732.514,00
AGNCO;25,15;8,88;70,23;2,56;0,27;;;;7,52;7,38;4,56;1,55;;;-0,27;;3,64;0,38;12,49;0,10;0,90;0,00;;4,64;;9,84;0,36;-1,89;9.601.732.514,00
AGNCP;24,84;6,94;69,50;2,53;0,27;;;;7,45;7,38;4,56;1,55;;;-0,27;;3,64;0,38;12,49;0,10;0,90;0,00;;4,64;;9,84;0,36;-1,87;9.601.732.514,00
AHH;7,04;4,88;43,62;0,86;0,23;31,96;15,65;2,06;5,75;5,37;-0,38;-0,06;0,90;;-0,23;;1,98;0,53;11,81;0,27;0,73;0,26;22,46;8,18;;8,20;0,16;6,90;566.698.678,00
AHT;6,25;;-0,23;-0,08;0,01;30,80;13,19;-13,77;0,24;18,50;18,25;;0,03;-0,01;-0,02;0,21;-35,36;-5,12;5,92;-0,14;1,07;0,37;-4,84;;;-76,12;-26,92;0,00;36.630.000,00
AIC;24,33;;81,31;3,13;0,84;100,00;163,58;32,01;15,91;16,37;13,24;2,61;26,02;;-0,84;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,77;0,30;0,10;135.948.960,00
AIRC;39,08;;8,87;2,49;0,91;66,64;102,82;79,57;6,86;10,78;3,91;1,42;7,06;;-0,91;;28,06;10,32;14,64;0,37;0,62;0,13;-3,35;-0,66;;15,71;4,41;0,37;5.670.672.136,00
AIV;8,77;;-11,73;11,27;0,67;55,96;-16,51;-50,37;-35,78;-68,21;-32,43;10,22;5,91;;-0,67;;-96,12;-5,67;-3,29;0,06;0,86;0,11;-25,58;;;0,78;-0,75;0,32;1.245.610.683,00
AIW;25,00;;83,55;3,22;0,87;100,00;163,58;32,01;16,35;16,37;13,24;2,61;26,74;;-0,87;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,77;0,30;0,11;135.948.960,00
AJX;3,00;4,00;-1,16;0,55;0,16;;;;-1,99;-6,86;-4,87;1,35;;;-0,16;;-47,70;-13,68;-8,05;0,29;0,71;0,00;;;;5,42;-2,58;0,00;136.262.400,00
AJXA;25,06;;-9,70;4,63;1,33;;;;-16,64;-6,86;-4,87;1,35;;;-1,33;;-47,70;-13,68;-8,05;0,29;0,71;0,00;;;;5,42;-2,58;-0,03;136.262.400,00
AKR;18,55;3,13;121,60;1,06;0,51;69,90;25,68;5,36;25,39;41,78;16,39;0,68;6,52;;-0,51;;0,87;0,42;2,43;0,49;0,51;0,08;4,02;-16,41;;17,55;0,15;1,17;2.430.634.304,00
ALEX;18,10;3,73;21,16;1,31;0,80;45,08;38,68;27,05;14,80;19,71;4,91;0,43;5,72;;-0,80;;6,17;3,76;6,07;0,61;0,39;0,14;-11,47;;;13,82;0,85;0,54;1.311.715.460,00
ALX;232,23;5,79;30,04;7,30;0,89;52,91;44,12;18,03;12,27;18,56;6,29;3,74;5,42;;-0,89;;24,31;2,97;8,43;0,12;0,88;0,16;0,00;-6,28;;31,93;7,76;-0,30;1.190.818.068,00
AMH;35,70;2,29;33,17;1,85;1,00;56,38;36,33;22,62;20,66;26,86;6,20;0,56;7,50;;-1,00;;5,58;3,00;5,50;0,54;0,46;0,13;8,62;23,94;;19,33;1,08;3,00;13.240.648.239,00
AMT;220,30;1,47;55,80;29,21;1,66;74,55;46,05;18,18;22,03;29,42;7,39;9,79;10,15;-36,67;-1,76;0,55;52,35;2,98;10,63;0,06;0,94;0,16;5,96;3,85;;7,55;3,95;-4,66;103.266.605.538,00
