TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;120,25;0,61;29,36;5,58;2,82;53,35;22,36;17,59;23,10;24,46;1,36;0,33;5,17;15,59;-4,31;2,09;19,00;9,59;13,26;0,50;0,50;0,55;4,75;3,77;;21,60;4,10;-4,80;34.238.318.291,00
AA;30,06;0,99;9,12;1,35;0,54;20,43;11,56;6,79;5,36;7,05;1,69;0,43;0,62;3,62;-0,84;1,71;14,79;5,90;11,09;0,40;0,59;0,87;2,66;;;22,46;3,32;-0,04;7.847.328.713,00
AACG;0,83;;-2,53;1,15;0,36;51,68;-31,49;-32,34;-2,60;-1,99;0,61;-0,27;0,82;-0,79;-0,42;0,23;-45,26;-14,39;-39,89;0,32;0,68;0,44;21,21;;;0,72;-0,33;-0,06;26.248.335,00
AACQ;9,99;;-93,43;180,94;1,25;;;;-27,75;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;-30,69;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;-6,94;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;11,69;;11,39;-1,73;0,12;64,24;5,14;1,26;2,80;10,46;7,66;;0,14;-0,62;-0,16;0,52;-15,20;1,09;10,23;-0,07;1,07;0,87;3,44;-12,88;;-6,84;1,04;0,31;7.802.030.509,00
AAME;2,29;0,87;-28,02;0,46;0,12;9,66;0,84;-0,87;28,92;11,67;-17,25;-0,27;0,24;;-0,12;;-1,63;-0,43;1,23;0,26;0,74;0,49;-1,03;;;5,02;-0,08;-0,27;46.709.588,00
AAN;10,09;1,24;-7,48;0,48;0,18;52,53;-1,67;-2,06;-9,21;-14,46;-5,25;0,28;0,15;-2,93;-0,32;0,88;-6,47;-2,40;-4,87;0,37;0,63;1,17;3,58;-43,87;;20,85;-1,35;0,00;318.347.572,00
AAOI;27,15;;-8,60;4,81;2,31;27,47;-54,01;-55,98;-8,92;-9,60;-0,68;0,37;4,82;8,86;-5,20;1,88;-55,90;-26,79;-34,06;0,48;0,52;0,48;5,49;;;5,56;-3,11;0,09;1.486.368.144,00
AAON;74,06;0,48;38,17;7,43;4,66;31,04;15,69;12,60;30,66;31,93;1,26;0,31;4,81;16,61;-8,32;2,77;19,47;12,22;15,38;0,63;0,37;0,97;20,67;25,70;;10,03;1,95;-3,27;6.063.401.772,00
AAP;51,90;0,96;-10,19;1,42;0,29;37,38;-6,32;-2,71;-4,36;-4,53;-0,17;0,05;0,28;2,42;-0,69;1,27;-13,92;-2,88;-26,10;0,21;0,79;1,06;-1,30;;;36,66;-5,10;0,04;3.115.531.944,00
AAPL;211,86;0,48;32,58;47,45;9,57;46,63;31,72;24,30;24,96;25,35;0,39;0,74;7,92;-122,39;-14,91;0,82;145,66;29,37;58,97;0,20;0,80;1,21;8,49;11,15;;4,47;6,51;0,47;3.169.531.635.460,00
AAWW;102,48;;0,02;957,44;438,20;73.340,41;12.124,84;5.712,28;0,01;-2,86;-2,88;-252.517,36;1,32;-63.287,62;-526,68;0,96;4.136.738,51;1.893.306,24;4.345.055,72;0,46;0,54;331,44;16,10;9,75;;0,11;4.427,79;0,00;2.934.330.336,00
AB;41,60;6,12;10,89;;2,29;;;;;;;;;;-2,29;;;21,04;;0,00;0,00;0,00;;12,16;;0,00;3,80;0,20;4.577.432.595,00
ABB;37,12;;17,32;5,68;1,80;32,37;17,56;13,65;13,46;13,66;0,20;0,09;2,36;89,85;-3,35;1,04;32,76;10,36;24,67;0,32;0,68;0,76;3,17;2,26;;6,54;2,14;0,15;69.002.074.752,00
ABBV;189,03;3,36;79,98;236,28;2,46;70,69;10,38;7,31;56,33;67,20;10,87;45,57;5,85;-38,44;-3,09;0,76;295,42;3,08;7,54;0,01;0,99;0,42;11,11;-11,50;;0,80;2,37;157,30;335.510.585.820,00
ABC;179,95;;21,39;52,69;0,59;3,42;0,91;0,66;15,60;17,17;1,57;5,29;0,14;-6,24;-1,79;0,88;246,27;2,76;33,33;0,01;0,99;4,16;9,27;36,05;;3,42;8,41;-2,59;36.143.677.300,00
