ticker;preco;dy;pl;pvp;roe;roa;roic;margem_bruta;margem_ebit;margem_liquida;liquidez_corrente;vpa;lpa;liquidez_diaria;valor_mercado
AALR3;3,93;;-8,53;0,56;-6,53;-2,46;6,81;27,98;10,49;-5,65;0,98;7,06;-0,46;323.730,14;598.772.764,26
ABCB4;21,65;8,99;7,26;0,83;11,43;1,05;;17,76;12,53;10,94;2,58;26,07;2,98;14.647.843,41;5.296.820.954,05
ABEV3;13,59;6,79;14,84;2,27;15,27;9,8;17,85;51,46;24,69;15,74;1,11;6,0;0,92;311.021.263,86;214.200.670.694,04
ADHM3;1,56;;-4,09;-1,29;-31,47;;22,61;100,0;;;0,0;-1,21;-0,38;;25.439.770,20
AERI3;4,39;;-0,28;2,46;-889,48;-46,89;-46,9;10,79;-63,54;-81,51;0,99;1,79;-15,89;654.995,32;272.707.660,44
AESB3;8,12;;-16,19;1,17;-7,21;-2,28;4,73;26,76;21,13;-10,72;0,67;6,96;-0,5;13.684.494,00;6.973.842.690,64
AFLT3;7,01;6,12;19,57;1,79;9,13;7,19;8,69;58,08;53,92;41,22;1,59;3,92;0,36;3.155,00;442.223.747,00
AGRO3;20,70;7,52;6,87;0,98;14,27;7,79;10,23;39,38;29,46;22,84;1,58;21,13;3,02;3.164.569,09;2.125.547.290,80
AGXY3;6,01;;-0,03;-0,05;-145,31;-83,71;433,24;-4,18;-59,21;-86,99;0,33;-118,43;-172,09;122.864,68;101.987.121,71
AHEB3;35,80;;2,14;1,91;89,31;27,74;92,71;28,07;22,41;20,02;2,89;18,75;16,75;7.520,00;308.890.982,60
AHEB5;58,00;;3,46;3,09;89,31;27,74;92,71;28,07;22,41;20,02;2,89;18,75;16,75;5.800,00;308.890.982,60
AHEB6;55,00;;3,28;2,93;89,31;27,74;92,71;28,07;22,41;20,02;2,89;18,75;16,75;5.500,00;308.890.982,60
ALLD3;7,04;18,42;6,02;0,42;6,9;3,22;7,69;12,0;3,42;2,08;1,86;16,95;1,17;216.099,82;665.330.990,72
ALOS3;22,95;4,35;14,45;0,93;6,42;3,24;11,28;74,1;59,06;31,4;2,87;24,74;1,59;69.984.890,95;12.460.402.061,55
ALPA3;8,60;1,13;30,04;1,45;4,83;3,06;1,93;44,69;3,36;4,58;2,17;5,93;0,29;100.149,41;5.991.142.630,42
ALPA4;8,94;1,19;31,23;1,51;4,83;3,06;1,93;44,69;3,36;4,58;2,17;5,93;0,29;14.895.087,14;5.991.142.630,42
ALPK3;3,28;;-155,12;2,06;-1,33;-0,19;12,18;33,2;13,58;-0,28;0,58;1,59;-0,02;257.584,50;711.838.802,00
ALUP11;31,10;2,8;9,07;1,2;13,26;3,62;11,75;71,15;71,29;26,72;2,15;25,84;3,43;37.772.805,50;10.251.395.563,70
ALUP3;11,08;2,62;9,7;1,29;13,26;3,62;11,75;71,15;71,29;26,72;2,15;8,61;1,14;58.572,18;10.251.395.563,70
ALUP4;10,05;2,89;8,8;1,17;13,26;3,62;11,75;71,15;71,29;26,72;2,15;8,61;1,14;90.678,09;10.251.395.563,70
AMAR3;1,36;;-4,23;2,43;-57,47;-8,08;6,21;50,1;4,91;-11,49;0,6;0,56;-0,32;187.578,68;698.300.218,48
AMBP3;160,56;;-119,3;20,39;-17,09;-1,31;8,47;19,32;17,75;-3,26;2,88;7,88;-1,35;33.171.544,77;26.820.242.486,64
AMER3;5,39;;0,15;0,24;163,84;42,19;-77,71;31,11;-5,71;53,64;1,49;22,35;36,62;12.981.611,41;1.079.316.890,19
AMOB3;12,10;;;;;;;;;;;;;1.998.769,73;0,00
ANIM3;4,43;11,85;15,38;0,76;4,91;1,17;10,3;61,77;22,82;3,02;2,06;5,87;0,29;21.031.332,18;1.789.138.806,15
APER3;46,75;;-32,82;2,02;-6,15;-3,09;2,91;100,0;6,6;-8,16;1,03;23,16;-1,42;51.166,00;953.269.946,75
APTI3;197,64;;0,15;0,01;9,84;4,97;2,72;100,11;29,38;66,99;5,86;;;;37.417.457,40
APTI4;2.930,92;;2,15;0,21;9,84;4,97;2,72;100,11;29,38;66,99;5,86;;;0,00;37.417.457,40
ARML3;3,75;3,82;9,98;1,03;10,31;2,85;11,94;38,06;26,49;7,16;2,42;3,65;0,38;7.914.781,45;1.299.352.863,75
ASAI3;10,28;1,04;21,86;2,78;12,73;1,45;16,71;16,48;5,12;0,88;0,86;3,69;0,47;119.063.114,59;13.901.080.501,80
AURA33;46,90;3,66;-19,14;12,68;-66,27;-8,14;23,69;45,53;38,0;-15,14;1,17;3,7;-2,45;12.714.588,64;10.186.472.467,50
AURE3;9,85;0,58;;0,78;0,04;0,01;3,58;20,53;18,55;0,06;1,45;12,62;0,01;33.063.064,73;10.346.223.043,90
AVLL3;1,68;;-28,01;-3,77;-13,47;-0,84;25,23;38,44;22,28;-1,69;0,86;-0,45;-0,06;21.989,64;328.154.502,48
AZEV3;0,46;;-1,04;0,38;-36,63;-20,04;-37,0;2,51;-159,37;-171,21;0,44;1,21;-0,44;524.921,95;303.928.763,94
AZEV4;0,54;;-1,22;0,45;-36,63;-20,04;-37,0;2,51;-159,37;-171,21;0,44;1,21;-0,44;1.197.264,55;303.928.763,94
AZTE3;0,65;;;;;;;;;;;;;2.293.071,86;0,00
AZUL4;0,94;;0,24;-0,1;-41,81;46,55;64,7;30,81;20,11;58,76;0,35;-9,41;3,93;20.398.062,18;868.960.397,34
AZZA3;41,09;2,72;21,96;1,09;4,95;2,52;1,96;53,73;5,52;3,86;1,55;37,8;1,87;102.014.270,05;8.484.666.416,17
B3SA3;14,76;2,0;16,42;4,14;25,18;10,22;13,91;89,93;59,29;43,97;2,13;3,57;0,9;455.268.839,91;77.733.540.000,00
BAHI3;4,51;;-1,64;1,58;-96,77;-14,54;-17,71;55,39;-7,97;-20,31;0,32;2,85;-2,76;16.499,00;119.021.524,82
BALM3;20,00;3,2;6,32;1,07;16,99;11,02;16,39;61,72;20,12;14,96;3,3;18,63;3,17;12.485,13;176.400.000,00
BALM4;16,00;8,49;5,05;0,86;16,99;11,02;16,39;61,72;20,12;14,96;3,3;18,63;3,17;19.474,00;176.400.000,00
BAUH3;0,00;;0,0;0,0;21,97;14,44;15,48;25,85;8,37;10,42;1,4;21,79;4,79;;
BAUH4;82,49;1,5;17,23;3,79;21,97;14,44;15,48;25,85;8,37;10,42;1,4;21,79;4,79;73.398,89;
BAZA3;74,65;10,73;3,21;0,65;20,19;2,55;;14,51;31,41;28,37;;115,26;23,27;667.573,41;4.184.753.214,75
BBAS3;22,44;10,63;5,21;0,71;13,57;1,02;;36,83;6,66;8,86;14,03;31,72;4,3;637.030.688,50;128.599.915.857,60
BBDC3;14,41;7,85;8,03;0,9;11,15;0,93;;32,69;8,46;8,62;11,09;16,1;1,8;125.270.724,77;164.846.499.604,05
BBDC4;16,72;7,44;9,31;1,04;11,15;0,93;;32,69;8,46;8,62;11,09;16,1;1,8;439.932.073,45;164.846.499.604,05
BBML3;3.936,42;;;;-276,88;-5,52;-17,06;5,41;1,44;-4,01;0,65;-0,56;-1,54;;160.451.699.191,56
BBSE3;36,57;10,15;8,46;6,27;74,13;46,67;;;;;2,5;5,83;4,32;162.464.323,45;73.140.000.000,00
BDLL3;9,00;;-0,54;-0,06;-11,51;-5,05;51,98;19,03;-36,02;-63,99;0,46;-145,99;-16,8;3.555,00;12.861.147,60
BDLL4;7,45;;-0,44;-0,05;-11,51;-5,05;51,98;19,03;-36,02;-63,99;0,46;-145,99;-16,8;4.142,10;12.861.147,60
BEEF3;5,17;;-4,28;-7,9;-184,64;-2,99;9,57;20,09;7,02;-3,16;1,48;-0,65;-1,21;61.106.448,36;5.139.655.217,51
BEES3;8,63;5,96;5,77;1,19;20,68;1,24;;32,29;14,88;10,23;;7,23;1,5;97.246,86;2.722.931.707,40
BEES4;8,59;5,99;5,74;1,19;20,68;1,24;;32,29;14,88;10,23;;7,23;1,5;34.832,00;2.722.931.707,40
BFRE11;0,00;;0,0;0,0;6,82;5,98;;100,0;195,96;118,16;;;;;
BFRE12;0,00;;0,0;0,0;6,82;5,98;;100,0;195,96;118,16;;;;;
