ticker;preco;dy;pvp;valor_patrimonial;liquidez_diaria;percentual_caixa;patrimonio;num_cotistas;gestao
ABCP11;86,94;9,08;0,81;107,5;;2,02;;;Passiva
AFHI11;92,00;12,54;0,97;94,72;;3,01;;;Ativa
AIEC11;45,04;14,25;0,58;77,66;;6,43;;;Ativa
AJFI11;7,31;11,17;0,6;12,16;;0,85;;;Ativa
ALMI11;575,00;6,95;0,27;;;4,33;;;Passiva
ALZC11;8,43;16,24;0,89;9,44;;3,8;;;Ativa
ALZM11;6,32;9,34;0,85;7,46;0,0;3,8;;;Ativa
ALZR11;10,24;9,17;0,98;10,46;;5,05;;;Ativa
ANCR11B;3.221,00;0,22;29,29;109,96;;1,53;;192,0;Ativa
APTO11;8,48;12,81;0,87;9,79;;14,14;;;Ativa
APXM11;95,00;5,08;0,77;123,36;;0,85;;617,0;
APXR11;97,99;0,0;1,25;78,69;;0,04;;148,0;
APXU11;0,00;0,0;;86,92;;28,76;;40,0;Ativa
AQLL11;385,03;0,0;0,42;923,11;;0,0;;83,0;Ativa
ARFI11B;479,99;0,0;7,52;63,81;;3,5;;;
AROA11;1,01;7,41;1,06;0,95;;1,24;;;Ativa
ARRI11;7,05;15,6;0,83;8,51;;1,26;;;Ativa
ARTE11;0,00;0,0;;10,11;;2,23;;745,0;Ativa
ARXD11;7,59;15,59;0,83;9,18;;1,77;;;Ativa
ASMT11;4,10;0,0;0,04;98,4;;6,5;;412,0;Ativa
ASRF11;10.888,00;0,0;1,12;;0,0;27,68;;68,0;Ativa
ATCR11;0,00;0,0;;67,82;;1,3;;33,0;Ativa
ATSA11;49,01;4,94;0,64;76,73;815,67;2,37;;303,0;Passiva
ATWN11;0,00;0,0;;;;1,06;;2,0;Ativa
AURB11;72,80;0,0;1,0;72,58;;13,0;;19,0;Ativa
AZPE11;0,00;0,0;;10,69;;0,64;;7,0;Ativa
AZPL11;7,56;13,21;0,77;9,77;;1,31;;;Ativa
BARI11;78,95;13,54;0,86;91,35;;2,68;;;Ativa
BBFI11;379,10;0,0;0,54;701,69;;31,0;;;Passiva
BBFO11;63,15;12,94;0,84;74,97;;0,18;;;Passiva
BBIG11;7,10;14,11;0,75;9,44;;8,08;;;Ativa
BBIM11;0,00;0,0;;0,0;;;0,0;0,0;Ativa
BBRC11;99,50;12,96;0,95;105,03;;5,32;;;Passiva
